#Software: Microsoft Exchange Server
#Version: 15.0.0.0
#Log-type: SMTP Receive Protocol Log
#Date: 2020-04-02T08:00:14.532Z
#Fields: date-time,connector-id,session-id,sequence-number,local-endpoint,remote-endpoint,event,data,context
2020-04-02T08:29:10.249Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,13,192.168.0.101:10587,90.30.30.30:58556,>,535 5.7.3 Authentication unsuccessful,
2020-04-02T08:29:10.274Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,14,192.168.0.101:10587,90.30.30.30:58556,<,QUIT,
2020-04-02T08:29:10.274Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,15,192.168.0.101:10587,90.30.30.30:58556,>,221 2.0.0 Service closing transmission channel,
2020-04-02T08:29:10.275Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D5E,16,192.168.0.101:10587,90.30.30.30:58556,-,,Local
2020-04-02T08:31:07.041Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,0,192.168.0.101:10587,180.60.60.60:24175,+,,
2020-04-02T08:31:07.043Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,1,192.168.0.101:10587,180.60.60.60:24175,>,"220 mail.example.com Microsoft ESMTP MAIL Service ready at Thu, 2 Apr 2020 10:31:06 +0200",
2020-04-02T08:31:07.081Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,2,192.168.0.101:10587,180.60.60.60:24175,<,EHLO localhost,
2020-04-02T08:31:07.082Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,3,192.168.0.101:10587,180.60.60.60:24175,>,250  mail.example.com Hello [180.60.60.60] SIZE 37748736 PIPELINING DSN ENHANCEDSTATUSCODES STARTTLS AUTH LOGIN 8BITMIME BINARYMIME CHUNKING,
2020-04-02T08:31:07.111Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,4,192.168.0.101:10587,180.60.60.60:24175,<,STARTTLS,
2020-04-02T08:31:07.111Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,5,192.168.0.101:10587,180.60.60.60:24175,>,220 2.0.0 SMTP server ready,
2020-04-02T08:31:07.112Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,6,192.168.0.101:10587,180.60.60.60:24175,*," CN=*.example.com, OU=Redacted Certificate Information *.example.com;example.com",Sending certificate Subject Issuer name Serial number Thumbprint Not before Not after Subject alternate names
2020-04-02T08:31:07.211Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,7,192.168.0.101:10587,180.60.60.60:24175,*,,"TLS protocol SP_PROT_TLS1_2_SERVER negotiation succeeded using bulk encryption algorithm CALG_AES_256 with strength 256 bits, MAC hash algorithm CALG_SHA_384 with strength 0 bits and key exchange algorithm CALG_ECDH_EPHEM with strength 256 bits"
2020-04-02T08:31:07.241Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,8,192.168.0.101:10587,180.60.60.60:24175,<,EHLO localhost,
2020-04-02T08:31:07.241Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,9,192.168.0.101:10587,180.60.60.60:24175,*,,Client certificate chain validation status: 'EmptyCertificate'
2020-04-02T08:31:07.241Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,10,192.168.0.101:10587,180.60.60.60:24175,*,,TlsDomainCapabilities='None'; Status='NoRemoteCertificate'
2020-04-02T08:31:07.242Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,11,192.168.0.101:10587,180.60.60.60:24175,>,250  mail.example.com Hello [180.60.60.60] SIZE 37748736 PIPELINING DSN ENHANCEDSTATUSCODES AUTH LOGIN 8BITMIME BINARYMIME CHUNKING,
2020-04-02T08:31:07.271Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,12,192.168.0.101:10587,180.60.60.60:24175,<,AUTH LOGIN,
2020-04-02T08:31:07.271Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,13,192.168.0.101:10587,180.60.60.60:24175,>,334 <authentication response>,
2020-04-02T08:31:07.301Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,14,192.168.0.101:10587,180.60.60.60:24175,>,334 <authentication response>,
2020-04-02T08:31:07.381Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,15,192.168.0.101:10587,180.60.60.60:24175,*,,Inbound AUTH LOGIN failed because of LogonDenied
2020-04-02T08:31:07.381Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,16,192.168.0.101:10587,180.60.60.60:24175,*,,User Name: user@example.com
2020-04-02T08:31:07.381Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,17,192.168.0.101:10587,180.60.60.60:24175,*,Tarpit for '0.00:00:05' due to '535 5.7.3 Authentication unsuccessful',
2020-04-02T08:31:12.392Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,18,192.168.0.101:10587,180.60.60.60:24175,>,535 5.7.3 Authentication unsuccessful,
2020-04-02T08:31:12.644Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,19,192.168.0.101:10587,180.60.60.60:24175,-,,Local
2018-10-08T15:09:27.508Z,00000000002A64E8,2,5.5.5.5:993,109.75.46.81:40016,user@example.com,23,31,30,authenticate,plain,"R=""2 NO AUTHENTICATE failed."";Msg=""AuthFailed:LogonDenied,User: user@example.com"";ErrMsg=AuthFailed:LogonDenied"
2020-04-02T08:31:12.644Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,19,192.168.0.101:10587,180.60.60.60:24175,-,,Local
2021-04-03T03:59:48.135Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC3E30,11,192.168.2.101:10587,27.255.75.110:62262,>,504 5.7.4 Unrecognized authentication type,
2020-04-02T08:31:12.644Z,SRV-XCH03\External Authenticated Relay,08D7D4D2EFBC4D65,19,192.168.0.101:10587,180.60.60.60:24175,-,,Local

2021-05-29T20:39:26.428Z,KROGULEC\Internet Recive Frontend,08D8FE5F13DE618F,12,111.26.0.174:25,37.49.225.153:53692,<,AUTH LOGIN,
2021-05-29T20:39:26.428Z,KROGULEC\Internet Recive Frontend,08D8FE5F13DE618F,13,111.26.0.174:25,37.49.225.153:53692,>,334 <authentication response>,
2021-05-29T20:39:26.460Z,KROGULEC\Internet Recive Frontend,08D8FE5F13DE618F,14,111.26.0.174:25,37.49.225.153:53692,>,334 <authentication response>,
2021-05-29T20:39:26.544Z,KROGULEC\Internet Recive Frontend,08D8FE5F13DE618F,15,111.26.0.174:25,37.49.225.153:53692,*,,Inbound AUTH LOGIN failed because of LogonDenied
2021-05-29T20:39:26.544Z,KROGULEC\Internet Recive Frontend,08D8FE5F13DE618F,16,111.26.0.174:25,37.49.225.153:53692,*,,User Name: user@example.com
2021-05-29T20:39:26.544Z,KROGULEC\Internet Recive Frontend,08D8FE5F13DE618F,17,111.26.0.174:25,37.49.225.153:53692,*,Tarpit for '0.00:00:05' due to '535 5.7.3 Authentication unsuccessful',

2023-08-31T02:18:14.045Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,4,172.16.101.13:25,54.212.131.181:45404,<,STARTTLS,
2023-08-31T02:18:14.045Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,5,172.16.101.13:25,54.212.131.181:45404,>,220 2.0.0 SMTP server ready,
2023-08-31T02:18:14.045Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,6,172.16.101.13:25,54.212.131.181:45404,*," CN=webmail.domain1.com CN=R3, O=Let's Encrypt, C=US 0404C0F032C2760F1F3F28A7CCC3FC5FBAB3 EC5A76488FE0A501C5FC28EC845E443889BA16E2 2023-08-12T10:39:24.000Z 2023-11-10T09:39:23.000Z webmail.domain1.com;autodiscover.domain1.com;mail.domain1.com;smtp.domain1.com;EXCH.domain1.com;EXCH1.domain1.com",Sending certificate Subject Issuer name Serial number Thumbprint Not before Not after Subject alternate names
2023-08-31T02:18:14.246Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,7,172.16.101.13:25,54.212.131.181:45404,*,,"TLS protocol SP_PROT_TLS1_2_SERVER negotiation succeeded using bulk encryption algorithm CALG_AES_256 with strength 256 bits, MAC hash algorithm CALG_SHA_384 with strength 384 bits and key exchange algorithm CALG_ECDH_EPHEM with strength 384 bits"
2023-08-31T02:18:14.333Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,8,172.16.101.13:25,54.212.131.181:45404,<,EHLO [172.31.11.248],
2023-08-31T02:18:14.333Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,9,172.16.101.13:25,54.212.131.181:45404,*,,Client certificate chain validation status: 'EmptyCertificate'
2023-08-31T02:18:14.333Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,10,172.16.101.13:25,54.212.131.181:45404,*,,TlsDomainCapabilities='None'; Status='NoRemoteCertificate'
2023-08-31T02:18:14.333Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,11,172.16.101.13:25,54.212.131.181:45404,>,250  webmail.domain1.com Hello [54.212.131.181] SIZE 26214400 PIPELINING DSN ENHANCEDSTATUSCODES AUTH LOGIN 8BITMIME BINARYMIME CHUNKING SMTPUTF8,
2023-08-31T02:18:14.418Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,12,172.16.101.13:25,54.212.131.181:45404,<,AUTH LOGIN,
2023-08-31T02:18:14.418Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,13,172.16.101.13:25,54.212.131.181:45404,>,334 <authentication response>,
2023-08-31T02:18:14.498Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,14,172.16.101.13:25,54.212.131.181:45404,>,334 <authentication response>,
2023-08-31T02:18:14.591Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,15,172.16.101.13:25,54.212.131.181:45404,*,,Inbound AUTH LOGIN failed because of LogonDenied
2023-08-31T02:18:14.591Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,16,172.16.101.13:25,54.212.131.181:45404,*,,User Name: exctest
2023-08-31T02:18:14.591Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,17,172.16.101.13:25,54.212.131.181:45404,*,Tarpit for '0.00:00:05' due to '535 5.7.3 Authentication unsuccessful',
2023-08-31T02:18:19.599Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,18,172.16.101.13:25,54.212.131.181:45404,>,535 5.7.3 Authentication unsuccessful,
2023-08-31T02:18:19.683Z,EXCH\Default Frontend EXCH,08DB994D2DD19B09,19,172.16.101.13:25,54.212.131.181:45404,-,,Remote(SocketError)

2023-08-31T02:38:22.107Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,0,172.16.101.13:25,54.212.131.182:55480,+,,
2023-08-31T02:38:22.108Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,1,172.16.101.13:25,54.212.131.182:55480,>,"220 webmail.domain1.com Microsoft ESMTP MAIL Service ready at Wed, 30 Aug 2023 22:38:21 -0400",
2023-08-31T02:38:22.283Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,2,172.16.101.13:25,54.212.131.182:55480,<,EHLO [172.31.11.248],
2023-08-31T02:38:22.284Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,3,172.16.101.13:25,54.212.131.182:55480,>,250  webmail.domain1.com Hello [54.212.131.181] SIZE 26214400 PIPELINING DSN ENHANCEDSTATUSCODES STARTTLS 8BITMIME BINARYMIME CHUNKING SMTPUTF8,
2023-08-31T02:38:22.371Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,4,172.16.101.13:25,54.212.131.182:55480,<,STARTTLS,
2023-08-31T02:38:22.371Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,5,172.16.101.13:25,54.212.131.182:55480,>,220 2.0.0 SMTP server ready,
2023-08-31T02:38:22.372Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,6,172.16.101.13:25,54.212.131.182:55480,*," CN=webmail.domain1.com CN=R3, O=Let's Encrypt, C=US 0404C0F032C2760F1F3F28A7CCC3FC5FBAB3 EC5A76488FE0A501C5FC28EC845E443889BA16E2 2023-08-12T10:39:24.000Z 2023-11-10T09:39:23.000Z webmail.domain1.com;autodiscover.domain1.com;mail.domain1.com;smtp.domain1.com;EXCH.domain1.com;EXCH1.domain1.com",Sending certificate Subject Issuer name Serial number Thumbprint Not before Not after Subject alternate names
2023-08-31T02:38:22.588Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,7,172.16.101.13:25,54.212.131.182:55480,*,,"TLS protocol SP_PROT_TLS1_2_SERVER negotiation succeeded using bulk encryption algorithm CALG_AES_256 with strength 256 bits, MAC hash algorithm CALG_SHA_384 with strength 384 bits and key exchange algorithm CALG_ECDH_EPHEM with strength 384 bits"
2023-08-31T02:38:22.676Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,8,172.16.101.13:25,54.212.131.182:55480,<,EHLO [172.31.11.248],
2023-08-31T02:38:22.676Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,9,172.16.101.13:25,54.212.131.182:55480,*,,Client certificate chain validation status: 'EmptyCertificate'
2023-08-31T02:38:22.676Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,10,172.16.101.13:25,54.212.131.182:55480,*,,TlsDomainCapabilities='None'; Status='NoRemoteCertificate'
2023-08-31T02:38:22.676Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,11,172.16.101.13:25,54.212.131.182:55480,>,250  webmail.domain1.com Hello [54.212.131.181] SIZE 26214400 PIPELINING DSN ENHANCEDSTATUSCODES AUTH LOGIN 8BITMIME BINARYMIME CHUNKING SMTPUTF8,
2023-08-31T02:38:22.776Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,12,172.16.101.13:25,54.212.131.182:55480,<,AUTH LOGIN,
2023-08-31T02:38:22.776Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,13,172.16.101.13:25,54.212.131.182:55480,>,334 <authentication response>,
2023-08-31T02:38:22.875Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,14,172.16.101.13:25,54.212.131.182:55480,>,334 <authentication response>,
2023-08-31T02:38:22.967Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,15,172.16.101.13:25,54.212.131.182:55480,*,,Inbound AUTH LOGIN failed because of LogonDenied
2023-08-31T02:38:22.968Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,16,172.16.101.13:25,54.212.131.182:55480,*,,User Name: exctest
2023-08-31T02:38:22.968Z,EXCH\Default Frontend EXCH,08DB994D2DD19B38,17,172.16.101.13:25,54.212.131.182:55480,*,Tarpit for '0.00:00:05' due to '535 5.7.3 Authentication unsuccessful',
